Rowid_,ADM1_REF,ZONE_CODE,COUNT,AREA,SUM
,Alta Verapaz,1,14290996,0.89318725,39660244
,Baja Verapaz,2,4059856,0.253741,2901866
,Chimaltenango,3,2502851,0.156428188,1780860
,Chiquimula,4,3242828,0.20267675,925571
,El Progreso,5,2466539,0.154158688,781907
,Escuintla,6,6033823,0.377113938,2037551
,Guatemala,7,2960396,0.18502475,1811229
,Huehuetenango,8,9928580,0.62053625,5260398
,Izabal,9,10097385,0.631086563,21912911
,Jalapa,10,2725222,0.170326375,869121
,Jutiapa,11,4445029,0.277814313,834037
,Peten,12,48742296,3.0463935,112976561
,Quetzaltenango,13,2864988,0.17906175,1626276
,Quiche,14,9806923,0.612932688,12891057
,Retalhuleu,15,2606628,0.16291425,838583
,Sacatepequez,16,719467,0.044966688,488986
,San Marcos,17,4778989,0.298686813,1530738
,Santa Rosa,18,4233776,0.264611,1677872
,Solola,19,1567115,0.097944688,342102
,Suchitepequez,20,2882805,0.180175313,2274350
,Totonicapan,21,1447374,0.090460875,352936
,Zacapa,22,3614213,0.225888313,2078044
